# Source Data for Fig. 7d: correlated leakage model, gamma = 0.5, k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,mu,expected_holevo_bits,eve_fidelity
0.470,0.0,0.4898113821,0.7159437062
0.480,0.0,0.4852857592,0.7190788064
0.490,0.0,0.4807982746,0.7221683750
0.500,0.0,0.4763486852,0.7252131489
0.510,0.0,0.4719367477,0.7282138520
0.520,0.0,0.4675622186,0.7311711957
0.530,0.0,0.4632248542,0.7340858787
0.540,0.0,0.4589244108,0.7369585875
0.550,0.0,0.4546606444,0.7397899968
0.560,0.0,0.4504333112,0.7425807691
0.570,0.0,0.4462421673,0.7453315557
0.580,0.0,0.4420869688,0.7480429963
0.590,0.0,0.4379674722,0.7507157196
0.600,0.0,0.4338834339,0.7533503432
0.610,0.0,0.4298346106,0.7559474741
0.620,0.0,0.4258207594,0.7585077086
0.630,0.0,0.4218416374,0.7610316328
0.640,0.0,0.4178970022,0.7635198224
0.650,0.0,0.4139866119,0.7659728435
0.660,0.0,0.4101102247,0.7683912519
0.670,0.0,0.4062675996,0.7707755944
0.680,0.0,0.4024584956,0.7731264077
0.690,0.0,0.3986826727,0.7754442198
