# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.3900,0.10,0.1723138725
0.3920,0.10,0.1712044971
0.3940,0.10,0.1701161121
0.3960,0.10,0.1690486812
0.3980,0.10,0.1680021683
0.4000,0.10,0.1669765387
0.4020,0.10,0.1659717582
0.4040,0.10,0.1649877933
0.4060,0.10,0.1640246115
0.4080,0.10,0.1630821809
0.4100,0.10,0.1621604704
0.4120,0.10,0.1612594499
0.4140,0.10,0.1603790896
0.4160,0.10,0.1595193609
0.4180,0.10,0.1586802356
0.4200,0.10,0.1578616864
0.4220,0.10,0.1570636867
0.4240,0.10,0.1562862106
0.4260,0.10,0.1555292331
0.4280,0.10,0.1547927296
0.4300,0.10,0.1540766763
0.4320,0.10,0.1533810504
0.4340,0.10,0.1527058294
0.4360,0.10,0.1520509917
0.4380,0.10,0.1514165164
0.4400,0.10,0.1508023832
0.4420,0.10,0.1502085725
0.4440,0.10,0.1496350655
0.4460,0.10,0.1490818438
0.4480,0.10,0.1485488900
0.4500,0.10,0.1480361872
0.4520,0.10,0.1475437191
0.4540,0.10,0.1470714702
0.4560,0.10,0.1466194255
0.4580,0.10,0.1461875709
0.4600,0.10,0.1457758927
0.4620,0.10,0.1453843780
0.4640,0.10,0.1450130145
0.4660,0.10,0.1446617906
0.4680,0.10,0.1443306951
0.4700,0.10,0.1440197178
0.4720,0.10,0.1437288490
0.4740,0.10,0.1434580794
0.4760,0.10,0.1432074008
0.4780,0.10,0.1429768051
0.4800,0.10,0.1427662853
0.4820,0.10,0.1425758348
0.4840,0.10,0.1424054476
0.4860,0.10,0.1422551185
0.4880,0.10,0.1421248427
0.4900,0.10,0.1420146161
0.4920,0.10,0.1419244355
0.4940,0.10,0.1418542979
0.4960,0.10,0.1418042011
0.4980,0.10,0.1417741437
0.5000,0.10,0.1417641247
0.5020,0.10,0.1417741437
0.5040,0.10,0.1418042011
0.5060,0.10,0.1418542979
0.5080,0.10,0.1419244355
0.5100,0.10,0.1420146161
0.5120,0.10,0.1421248427
0.5140,0.10,0.1422551185
0.5160,0.10,0.1424054476
0.5180,0.10,0.1425758348
0.5200,0.10,0.1427662853
0.5220,0.10,0.1429768051
0.5240,0.10,0.1432074008
0.5260,0.10,0.1434580794
0.5280,0.10,0.1437288490
0.5300,0.10,0.1440197178
0.5320,0.10,0.1443306951
0.5340,0.10,0.1446617906
0.5360,0.10,0.1450130145
0.5380,0.10,0.1453843780
0.5400,0.10,0.1457758927
0.5420,0.10,0.1461875709
0.5440,0.10,0.1466194255
0.5460,0.10,0.1470714702
0.5480,0.10,0.1475437191
0.5500,0.10,0.1480361872
0.5520,0.10,0.1485488900
0.5540,0.10,0.1490818438
0.5560,0.10,0.1496350655
0.5580,0.10,0.1502085725
0.5600,0.10,0.1508023832
0.5620,0.10,0.1514165164
0.5640,0.10,0.1520509917
0.5660,0.10,0.1527058294
0.5680,0.10,0.1533810504
0.5700,0.10,0.1540766763
0.5720,0.10,0.1547927296
0.5740,0.10,0.1555292331
0.5760,0.10,0.1562862106
0.5780,0.10,0.1570636867
0.5800,0.10,0.1578616864
0.5820,0.10,0.1586802356
0.5840,0.10,0.1595193609
0.5860,0.10,0.1603790896
0.5880,0.10,0.1612594499
0.5900,0.10,0.1621604704
0.5920,0.10,0.1630821809
0.5940,0.10,0.1640246115
0.5960,0.10,0.1649877933
0.5980,0.10,0.1659717582
0.6000,0.10,0.1669765387
0.6020,0.10,0.1680021683
0.6040,0.10,0.1690486812
0.6060,0.10,0.1701161121
0.6080,0.10,0.1712044971
0.6100,0.10,0.1723138725
0.6120,0.10,0.1734442759
0.6140,0.10,0.1745957454
0.6160,0.10,0.1757683200
0.6180,0.10,0.1769620398
0.6200,0.10,0.1781769453
0.6220,0.10,0.1794130783
0.6240,0.10,0.1806704812
0.6260,0.10,0.1819491973
0.6280,0.10,0.1832492709
0.6300,0.10,0.1845707472
0.6320,0.10,0.1859136722
0.6340,0.10,0.1872780928
0.6360,0.10,0.1886640570
0.6380,0.10,0.1900716137
0.6400,0.10,0.1915008125
0.6420,0.10,0.1929517044
0.6440,0.10,0.1944243410
0.6460,0.10,0.1959187752
0.6480,0.10,0.1974350605
0.6500,0.10,0.1989732519
0.6520,0.10,0.2005334051
0.6540,0.10,0.2021155769
0.6560,0.10,0.2037198252
0.6580,0.10,0.2053462090
0.6600,0.10,0.2069947883
0.6620,0.10,0.2086656244
0.6640,0.10,0.2103587794
0.6660,0.10,0.2120743169
0.6680,0.10,0.2138123013
0.6700,0.10,0.2155727985
