# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.6920,0.20,0.3586454660
0.6940,0.20,0.3603767937
0.6960,0.20,0.3621280200
0.6980,0.20,0.3638992137
0.7000,0.20,0.3656904454
0.7020,0.20,0.3675017864
0.7040,0.20,0.3693333095
0.7060,0.20,0.3711850890
0.7080,0.20,0.3730572000
0.7100,0.20,0.3749497193
0.7120,0.20,0.3768627250
0.7140,0.20,0.3787962964
0.7160,0.20,0.3807505145
0.7180,0.20,0.3827254614
0.7200,0.20,0.3847212209
0.7220,0.20,0.3867378783
0.7240,0.20,0.3887755201
0.7260,0.20,0.3908342347
0.7280,0.20,0.3929141119
0.7300,0.20,0.3950152432
0.7320,0.20,0.3971377217
0.7340,0.20,0.3992816420
0.7360,0.20,0.4014471008
0.7380,0.20,0.4036341961
0.7400,0.20,0.4058430280
0.7420,0.20,0.4080736983
0.7440,0.20,0.4103263107
0.7460,0.20,0.4126009707
0.7480,0.20,0.4148977859
0.7500,0.20,0.4172168657
0.7520,0.20,0.4195583217
0.7540,0.20,0.4219222674
0.7560,0.20,0.4243088186
0.7580,0.20,0.4267180932
0.7600,0.20,0.4291502113
0.7620,0.20,0.4316052953
0.7640,0.20,0.4340834698
0.7660,0.20,0.4365848620
0.7680,0.20,0.4391096015
0.7700,0.20,0.4416578202
0.7720,0.20,0.4442296528
0.7740,0.20,0.4468252365
0.7760,0.20,0.4494447113
0.7780,0.20,0.4520882198
0.7800,0.20,0.4547559076
0.7820,0.20,0.4574479231
0.7840,0.20,0.4601644177
0.7860,0.20,0.4629055460
0.7880,0.20,0.4656714656
0.7900,0.20,0.4684623373
0.7920,0.20,0.4712783254
0.7940,0.20,0.4741195974
0.7960,0.20,0.4769863246
0.7980,0.20,0.4798786815
0.8000,0.20,0.4827968468
0.8020,0.20,0.4857410027
0.8040,0.20,0.4887113353
0.8060,0.20,0.4917080349
0.8080,0.20,0.4947312960
0.8100,0.20,0.4977813173
0.8120,0.20,0.5008583020
0.8140,0.20,0.5039624578
0.8160,0.20,0.5070939971
0.8180,0.20,0.5102531373
0.8200,0.20,0.5134401007
0.8220,0.20,0.5166551148
0.8240,0.20,0.5198984124
0.8260,0.20,0.5231702320
0.8280,0.20,0.5264708177
0.8300,0.20,0.5298004194
0.8320,0.20,0.5331592933
0.8340,0.20,0.5365477018
0.8360,0.20,0.5399659140
0.8380,0.20,0.5434142057
0.8400,0.20,0.5468928597
0.8420,0.20,0.5504021662
0.8440,0.20,0.5539424228
0.8460,0.20,0.5575139350
0.8480,0.20,0.5611170166
0.8500,0.20,0.5647519897
0.8520,0.20,0.5684191853
0.8540,0.20,0.5721189434
0.8560,0.20,0.5758516138
0.8580,0.20,0.5796175559
0.8600,0.20,0.5834171396
0.8620,0.20,0.5872507455
0.8640,0.20,0.5911187655
0.8660,0.20,0.5950216030
0.8680,0.20,0.5989596740
0.8700,0.20,0.6029334068
0.8720,0.20,0.6069432434
0.8740,0.20,0.6109896397
0.8760,0.20,0.6150730662
0.8780,0.20,0.6191940086
0.8800,0.20,0.6233529689
0.8820,0.20,0.6275504658
0.8840,0.20,0.6317870358
0.8860,0.20,0.6360632339
0.8880,0.20,0.6403796349
0.8900,0.20,0.6447368341
0.8920,0.20,0.6491354484
0.8940,0.20,0.6535761179
0.8960,0.20,0.6580595068
0.8980,0.20,0.6625863049
0.9000,0.20,0.6671572290
0.9020,0.20,0.6717730248
0.9040,0.20,0.6764344683
0.9060,0.20,0.6811423679
0.9080,0.20,0.6858975663
0.9100,0.20,0.6907009430
0.9120,0.20,0.6955534163
0.9140,0.20,0.7004559461
0.9160,0.20,0.7054095373
0.9180,0.20,0.7104152419
0.9200,0.20,0.7154741635
0.9220,0.20,0.7205874605
0.9240,0.20,0.7257563505
0.9260,0.20,0.7309821149
0.9280,0.20,0.7362661041
0.9300,0.20,0.7416097431
0.9320,0.20,0.7470145380
0.9340,0.20,0.7524820830
0.9360,0.20,0.7580140683
0.9380,0.20,0.7636122892
0.9400,0.20,0.7692786562
0.9420,0.20,0.7750152064
0.9440,0.20,0.7808241165
0.9460,0.20,0.7867077178
0.9480,0.20,0.7926685131
0.9500,0.20,0.7987091966
0.9520,0.20,0.8048326769
0.9540,0.20,0.8110421030
0.9560,0.20,0.8173408965
0.9580,0.20,0.8237327880
0.9600,0.20,0.8302218612
0.9620,0.20,0.8368126060
0.9640,0.20,0.8435099819
0.9660,0.20,0.8503194970
0.9680,0.20,0.8572473035
0.9700,0.20,0.8643003193
0.9720,0.20,0.8714863806
0.9740,0.20,0.8788144385
0.9760,0.20,0.8862948163
0.9780,0.20,0.8939395536
0.9800,0.20,0.9017628744
0.9820,0.20,0.9097818451
0.9840,0.20,0.9180173261
0.9860,0.20,0.9264954044
0.9880,0.20,0.9352496538
0.9900,0.20,0.9443249298
0.9920,0.20,0.9537842733
0.9940,0.20,0.9637229792
0.9960,0.20,0.9743026445
0.9980,0.20,0.9858630706
1.0000,0.20,1.0000000000
0.0000,0.30,1.0000000000
0.0020,0.30,0.9888018297
0.0040,0.30,0.9795811279
0.0060,0.30,0.9711154994
0.0080,0.30,0.9631444392
0.0100,0.30,0.9555439865
0.0120,0.30,0.9482409992
0.0140,0.30,0.9411870651
0.0160,0.30,0.9343477189
0.0180,0.30,0.9276971501
0.0200,0.30,0.9212152940
0.0220,0.30,0.9148860975
0.0240,0.30,0.9086964211
0.0260,0.30,0.9026353079
0.0280,0.30,0.8966934798
0.0300,0.30,0.8908629772
0.0320,0.30,0.8851368956
0.0340,0.30,0.8795091876
0.0360,0.30,0.8739745123
0.0380,0.30,0.8685281175
0.0400,0.30,0.8631657472
0.0420,0.30,0.8578835671
0.0440,0.30,0.8526781049
0.0460,0.30,0.8475462011
0.0480,0.30,0.8424849679
0.0500,0.30,0.8374917562
0.0520,0.30,0.8325641262
0.0540,0.30,0.8276998243
0.0560,0.30,0.8228967616
0.0580,0.30,0.8181529972
0.0600,0.30,0.8134667223
0.0620,0.30,0.8088362476
0.0640,0.30,0.8042599914
0.0660,0.30,0.7997364700
0.0680,0.30,0.7952642884
0.0700,0.30,0.7908421329
0.0720,0.30,0.7864687639
0.0740,0.30,0.7821430102
0.0760,0.30,0.7778637630
0.0780,0.30,0.7736299712
0.0800,0.30,0.7694406373
0.0820,0.30,0.7652948129
0.0840,0.30,0.7611915956
0.0860,0.30,0.7571301253
0.0880,0.30,0.7531095818
0.0900,0.30,0.7491291816
0.0920,0.30,0.7451881759
0.0940,0.30,0.7412858481
0.0960,0.30,0.7374215118
0.0980,0.30,0.7335945090
0.1000,0.30,0.7298042083
0.1020,0.30,0.7260500035
0.1040,0.30,0.7223313120
0.1060,0.30,0.7186475733
0.1080,0.30,0.7149982481
0.1100,0.30,0.7113828170
0.1120,0.30,0.7078007792
0.1140,0.30,0.7042516519
0.1160,0.30,0.7007349691
0.1180,0.30,0.6972502808
0.1200,0.30,0.6937971524
0.1220,0.30,0.6903751636
0.1240,0.30,0.6869839078
0.1260,0.30,0.6836229917
0.1280,0.30,0.6802920345
0.1300,0.30,0.6769906671
0.1320,0.30,0.6737185320
0.1340,0.30,0.6704752825
0.1360,0.30,0.6672605823
0.1380,0.30,0.6640741051
0.1400,0.30,0.6609155339
0.1420,0.30,0.6577845611
0.1440,0.30,0.6546808878
0.1460,0.30,0.6516042232
0.1480,0.30,0.6485542849
0.1500,0.30,0.6455307980
0.1520,0.30,0.6425334952
0.1540,0.30,0.6395621161
0.1560,0.30,0.6366164074
0.1580,0.30,0.6336961222
0.1600,0.30,0.6308010202
0.1620,0.30,0.6279308670
0.1640,0.30,0.6250854342
0.1660,0.30,0.6222644991
0.1680,0.30,0.6194678445
0.1700,0.30,0.6166952585
0.1720,0.30,0.6139465343
0.1740,0.30,0.6112214701
0.1760,0.30,0.6085198687
0.1780,0.30,0.6058415377
0.1800,0.30,0.6031862892
0.1820,0.30,0.6005539395
0.1840,0.30,0.5979443091
0.1860,0.30,0.5953572227
0.1880,0.30,0.5927925087
0.1900,0.30,0.5902499995
0.1920,0.30,0.5877295310
0.1940,0.30,0.5852309430
0.1960,0.30,0.5827540783
0.1980,0.30,0.5802987835
0.2000,0.30,0.5778649083
0.2020,0.30,0.5754523054
0.2040,0.30,0.5730608310
0.2060,0.30,0.5706903439
0.2080,0.30,0.5683407060
0.2100,0.30,0.5660117819
0.2120,0.30,0.5637034393
0.2140,0.30,0.5614155481
0.2160,0.30,0.5591479811
0.2180,0.30,0.5569006137
0.2200,0.30,0.5546733235
0.2220,0.30,0.5524659907
0.2240,0.30,0.5502784978
0.2260,0.30,0.5481107296
0.2280,0.30,0.5459625731
0.2300,0.30,0.5438339175
0.2320,0.30,0.5417246541
0.2340,0.30,0.5396346763
0.2360,0.30,0.5375638795
0.2380,0.30,0.5355121609
0.2400,0.30,0.5334794200
0.2420,0.30,0.5314655578
0.2440,0.30,0.5294704773
0.2460,0.30,0.5274940833
0.2480,0.30,0.5255362824
0.2500,0.30,0.5235969827
0.2520,0.30,0.5216760941
0.2540,0.30,0.5197735282
0.2560,0.30,0.5178891982
0.2580,0.30,0.5160230186
0.2600,0.30,0.5141749058
0.2620,0.30,0.5123447775
0.2640,0.30,0.5105325528
0.2660,0.30,0.5087381523
0.2680,0.30,0.5069614981
0.2700,0.30,0.5052025136
0.2720,0.30,0.5034611236
0.2740,0.30,0.5017372540
0.2760,0.30,0.5000308323
0.2780,0.30,0.4983417870
0.2800,0.30,0.4966700481
0.2820,0.30,0.4950155467
0.2840,0.30,0.4933782150
0.2860,0.30,0.4917579865
0.2880,0.30,0.4901547958
0.2900,0.30,0.4885685786
0.2920,0.30,0.4869992718
0.2940,0.30,0.4854468134
0.2960,0.30,0.4839111423
0.2980,0.30,0.4823921986
0.3000,0.30,0.4808899234
0.3020,0.30,0.4794042588
0.3040,0.30,0.4779351479
0.3060,0.30,0.4764825347
0.3080,0.30,0.4750463644
0.3100,0.30,0.4736265828
0.3120,0.30,0.4722231369
0.3140,0.30,0.4708359745
0.3160,0.30,0.4694650444
0.3180,0.30,0.4681102961
0.3200,0.30,0.4667716801
0.3220,0.30,0.4654491479
0.3240,0.30,0.4641426514
0.3260,0.30,0.4628521439
0.3280,0.30,0.4615775790
0.3300,0.30,0.4603189114
0.3320,0.30,0.4590760966
0.3340,0.30,0.4578490908
0.3360,0.30,0.4566378509
0.3380,0.30,0.4554423347
0.3400,0.30,0.4542625006
0.3420,0.30,0.4530983079
0.3440,0.30,0.4519497165
0.3460,0.30,0.4508166872
0.3480,0.30,0.4496991812
0.3500,0.30,0.4485971607
0.3520,0.30,0.4475105883
0.3540,0.30,0.4464394276
0.3560,0.30,0.4453836427
0.3580,0.30,0.4443431982
0.3600,0.30,0.4433180597
0.3620,0.30,0.4423081933
0.3640,0.30,0.4413135655
0.3660,0.30,0.4403341439
0.3680,0.30,0.4393698962
0.3700,0.30,0.4384207911
0.3720,0.30,0.4374867978
0.3740,0.30,0.4365678861
0.3760,0.30,0.4356640263
0.3780,0.30,0.4347751894
0.3800,0.30,0.4339013469
0.3820,0.30,0.4330424709
0.3840,0.30,0.4321985342
0.3860,0.30,0.4313695100
0.3880,0.30,0.4305553721
0.3900,0.30,0.4297560948
0.3920,0.30,0.4289716531
0.3940,0.30,0.4282020223
0.3960,0.30,0.4274471785
0.3980,0.30,0.4267070982
0.4000,0.30,0.4259817583
0.4020,0.30,0.4252711365
0.4040,0.30,0.4245752108
0.4060,0.30,0.4238939597
0.4080,0.30,0.4232273624
0.4100,0.30,0.4225753984
0.4120,0.30,0.4219380478
0.4140,0.30,0.4213152912
0.4160,0.30,0.4207071096
0.4180,0.30,0.4201134846
0.4200,0.30,0.4195343983
0.4220,0.30,0.4189698330
0.4240,0.30,0.4184197719
0.4260,0.30,0.4178841983
0.4280,0.30,0.4173630962
0.4300,0.30,0.4168564499
0.4320,0.30,0.4163642444
0.4340,0.30,0.4158864649
0.4360,0.30,0.4154230972
0.4380,0.30,0.4149741275
0.4400,0.30,0.4145395425
0.4420,0.30,0.4141193293
0.4440,0.30,0.4137134754
0.4460,0.30,0.4133219689
0.4480,0.30,0.4129447982
0.4500,0.30,0.4125819522
0.4520,0.30,0.4122334202
0.4540,0.30,0.4118991920
0.4560,0.30,0.4115792578
0.4580,0.30,0.4112736082
0.4600,0.30,0.4109822341
0.4620,0.30,0.4107051272
0.4640,0.30,0.4104422794
0.4660,0.30,0.4101936828
0.4680,0.30,0.4099593304
0.4700,0.30,0.4097392152
0.4720,0.30,0.4095333309
0.4740,0.30,0.4093416714
0.4760,0.30,0.4091642312
0.4780,0.30,0.4090010052
0.4800,0.30,0.4088519886
0.4820,0.30,0.4087171771
0.4840,0.30,0.4085965667
0.4860,0.30,0.4084901540
0.4880,0.30,0.4083979359
0.4900,0.30,0.4083199097
0.4920,0.30,0.4082560732
0.4940,0.30,0.4082064244
0.4960,0.30,0.4081709621
0.4980,0.30,0.4081496851
0.5000,0.30,0.4081425928
0.5020,0.30,0.4081496851
0.5040,0.30,0.4081709621
0.5060,0.30,0.4082064244
0.5080,0.30,0.4082560732
0.5100,0.30,0.4083199097
0.5120,0.30,0.4083979359
0.5140,0.30,0.4084901540
0.5160,0.30,0.4085965667
0.5180,0.30,0.4087171771
0.5200,0.30,0.4088519886
0.5220,0.30,0.4090010052
0.5240,0.30,0.4091642312
0.5260,0.30,0.4093416714
0.5280,0.30,0.4095333309
0.5300,0.30,0.4097392152
0.5320,0.30,0.4099593304
0.5340,0.30,0.4101936828
0.5360,0.30,0.4104422794
0.5380,0.30,0.4107051272
0.5400,0.30,0.4109822341
0.5420,0.30,0.4112736082
0.5440,0.30,0.4115792578
0.5460,0.30,0.4118991920
0.5480,0.30,0.4122334202
0.5500,0.30,0.4125819522
0.5520,0.30,0.4129447982
0.5540,0.30,0.4133219689
0.5560,0.30,0.4137134754
0.5580,0.30,0.4141193293
0.5600,0.30,0.4145395425
0.5620,0.30,0.4149741275
0.5640,0.30,0.4154230972
0.5660,0.30,0.4158864649
0.5680,0.30,0.4163642444
0.5700,0.30,0.4168564499
0.5720,0.30,0.4173630962
0.5740,0.30,0.4178841983
0.5760,0.30,0.4184197719
0.5780,0.30,0.4189698330
0.5800,0.30,0.4195343983
0.5820,0.30,0.4201134846
0.5840,0.30,0.4207071096
0.5860,0.30,0.4213152912
0.5880,0.30,0.4219380478
0.5900,0.30,0.4225753984
0.5920,0.30,0.4232273624
0.5940,0.30,0.4238939597
0.5960,0.30,0.4245752108
0.5980,0.30,0.4252711365
0.6000,0.30,0.4259817583
0.6020,0.30,0.4267070982
0.6040,0.30,0.4274471785
0.6060,0.30,0.4282020223
0.6080,0.30,0.4289716531
0.6100,0.30,0.4297560948
0.6120,0.30,0.4305553721
0.6140,0.30,0.4313695100
0.6160,0.30,0.4321985342
0.6180,0.30,0.4330424709
0.6200,0.30,0.4339013469
0.6220,0.30,0.4347751894
0.6240,0.30,0.4356640263
0.6260,0.30,0.4365678861
0.6280,0.30,0.4374867978
0.6300,0.30,0.4384207911
0.6320,0.30,0.4393698962
0.6340,0.30,0.4403341439
0.6360,0.30,0.4413135655
0.6380,0.30,0.4423081933
0.6400,0.30,0.4433180597
0.6420,0.30,0.4443431982
0.6440,0.30,0.4453836427
0.6460,0.30,0.4464394276
0.6480,0.30,0.4475105883
0.6500,0.30,0.4485971607
0.6520,0.30,0.4496991812
0.6540,0.30,0.4508166872
0.6560,0.30,0.4519497165
0.6580,0.30,0.4530983079
0.6600,0.30,0.4542625006
0.6620,0.30,0.4554423347
0.6640,0.30,0.4566378509
0.6660,0.30,0.4578490908
0.6680,0.30,0.4590760966
0.6700,0.30,0.4603189114
0.6720,0.30,0.4615775790
0.6740,0.30,0.4628521439
0.6760,0.30,0.4641426514
0.6780,0.30,0.4654491479
0.6800,0.30,0.4667716801
0.6820,0.30,0.4681102961
0.6840,0.30,0.4694650444
0.6860,0.30,0.4708359745
0.6880,0.30,0.4722231369
0.6900,0.30,0.4736265828
0.6920,0.30,0.4750463644
0.6940,0.30,0.4764825347
0.6960,0.30,0.4779351479
0.6980,0.30,0.4794042588
0.7000,0.30,0.4808899234
0.7020,0.30,0.4823921986
0.7040,0.30,0.4839111423
0.7060,0.30,0.4854468134
0.7080,0.30,0.4869992718
0.7100,0.30,0.4885685786
0.7120,0.30,0.4901547958
0.7140,0.30,0.4917579865
0.7160,0.30,0.4933782150
0.7180,0.30,0.4950155467
0.7200,0.30,0.4966700481
0.7220,0.30,0.4983417870
0.7240,0.30,0.5000308323
0.7260,0.30,0.5017372540
0.7280,0.30,0.5034611236
0.7300,0.30,0.5052025136
0.7320,0.30,0.5069614981
0.7340,0.30,0.5087381523
0.7360,0.30,0.5105325528
0.7380,0.30,0.5123447775
0.7400,0.30,0.5141749058
0.7420,0.30,0.5160230186
0.7440,0.30,0.5178891982
0.7460,0.30,0.5197735282
0.7480,0.30,0.5216760941
0.7500,0.30,0.5235969827
0.7520,0.30,0.5255362824
0.7540,0.30,0.5274940833
0.7560,0.30,0.5294704773
0.7580,0.30,0.5314655578
0.7600,0.30,0.5334794200
0.7620,0.30,0.5355121609
0.7640,0.30,0.5375638795
0.7660,0.30,0.5396346763
0.7680,0.30,0.5417246541
0.7700,0.30,0.5438339175
0.7720,0.30,0.5459625731
0.7740,0.30,0.5481107296
0.7760,0.30,0.5502784978
0.7780,0.30,0.5524659907
0.7800,0.30,0.5546733235
0.7820,0.30,0.5569006137
0.7840,0.30,0.5591479811
0.7860,0.30,0.5614155481
0.7880,0.30,0.5637034393
0.7900,0.30,0.5660117819
0.7920,0.30,0.5683407060
0.7940,0.30,0.5706903439
0.7960,0.30,0.5730608310
0.7980,0.30,0.5754523054
0.8000,0.30,0.5778649083
0.8020,0.30,0.5802987835
0.8040,0.30,0.5827540783
0.8060,0.30,0.5852309430
0.8080,0.30,0.5877295310
0.8100,0.30,0.5902499995
0.8120,0.30,0.5927925087
0.8140,0.30,0.5953572227
0.8160,0.30,0.5979443091
0.8180,0.30,0.6005539395
0.8200,0.30,0.6031862892
0.8220,0.30,0.6058415377
0.8240,0.30,0.6085198687
0.8260,0.30,0.6112214701
0.8280,0.30,0.6139465343
0.8300,0.30,0.6166952585
0.8320,0.30,0.6194678445
0.8340,0.30,0.6222644991
0.8360,0.30,0.6250854342
0.8380,0.30,0.6279308670
0.8400,0.30,0.6308010202
0.8420,0.30,0.6336961222
0.8440,0.30,0.6366164074
0.8460,0.30,0.6395621161
0.8480,0.30,0.6425334952
0.8500,0.30,0.6455307980
0.8520,0.30,0.6485542849
0.8540,0.30,0.6516042232
0.8560,0.30,0.6546808878
0.8580,0.30,0.6577845611
0.8600,0.30,0.6609155339
0.8620,0.30,0.6640741051
0.8640,0.30,0.6672605823
0.8660,0.30,0.6704752825
0.8680,0.30,0.6737185320
0.8700,0.30,0.6769906671
0.8720,0.30,0.6802920345
0.8740,0.30,0.6836229917
0.8760,0.30,0.6869839078
0.8780,0.30,0.6903751636
0.8800,0.30,0.6937971524
0.8820,0.30,0.6972502808
0.8840,0.30,0.7007349691
0.8860,0.30,0.7042516519
0.8880,0.30,0.7078007792
0.8900,0.30,0.7113828170
0.8920,0.30,0.7149982481
0.8940,0.30,0.7186475733
0.8960,0.30,0.7223313120
0.8980,0.30,0.7260500035
0.9000,0.30,0.7298042083
0.9020,0.30,0.7335945090
0.9040,0.30,0.7374215118
0.9060,0.30,0.7412858481
0.9080,0.30,0.7451881759
0.9100,0.30,0.7491291816
0.9120,0.30,0.7531095818
0.9140,0.30,0.7571301253
0.9160,0.30,0.7611915956
0.9180,0.30,0.7652948129
0.9200,0.30,0.7694406373
0.9220,0.30,0.7736299712
0.9240,0.30,0.7778637630
0.9260,0.30,0.7821430102
0.9280,0.30,0.7864687639
0.9300,0.30,0.7908421329
0.9320,0.30,0.7952642884
0.9340,0.30,0.7997364700
0.9360,0.30,0.8042599914
0.9380,0.30,0.8088362476
0.9400,0.30,0.8134667223
0.9420,0.30,0.8181529972
0.9440,0.30,0.8228967616
0.9460,0.30,0.8276998243
0.9480,0.30,0.8325641262
0.9500,0.30,0.8374917562
0.9520,0.30,0.8424849679
0.9540,0.30,0.8475462011
0.9560,0.30,0.8526781049
0.9580,0.30,0.8578835671
0.9600,0.30,0.8631657472
0.9620,0.30,0.8685281175
0.9640,0.30,0.8739745123
0.9660,0.30,0.8795091876
0.9680,0.30,0.8851368956
0.9700,0.30,0.8908629772
0.9720,0.30,0.8966934798
0.9740,0.30,0.9026353079
0.9760,0.30,0.9086964211
0.9780,0.30,0.9148860975
0.9800,0.30,0.9212152940
0.9820,0.30,0.9276971501
0.9840,0.30,0.9343477189
0.9860,0.30,0.9411870651
0.9880,0.30,0.9482409992
0.9900,0.30,0.9555439865
0.9920,0.30,0.9631444392
0.9940,0.30,0.9711154994
0.9960,0.30,0.9795811279
0.9980,0.30,0.9888018297
1.0000,0.30,1.0000000000
0.0000,0.40,1.0000000000
0.0020,0.40,0.9914546735
0.0040,0.40,0.9843657235
0.0060,0.40,0.9778346404
0.0080,0.40,0.9716698080
0.0100,0.40,0.9657799968
0.0120,0.40,0.9601113496
0.0140,0.40,0.9546282005
0.0160,0.40,0.9493051463
0.0180,0.40,0.9441231536
0.0200,0.40,0.9390674188
0.0220,0.40,0.9341260927
0.0240,0.40,0.9292894721
0.0260,0.40,0.9245494618
0.0280,0.40,0.9198992039
0.0300,0.40,0.9153328124
0.0320,0.40,0.9108451792
0.0340,0.40,0.9064318286
0.0360,0.40,0.9020888057
0.0380,0.40,0.8978125903
0.0400,0.40,0.8936000282
0.0420,0.40,0.8894482769
0.0440,0.40,0.8853547609
0.0460,0.40,0.8813171358
0.0480,0.40,0.8773332580
0.0500,0.40,0.8734011602
0.0520,0.40,0.8695190302
0.0540,0.40,0.8656851928
0.0560,0.40,0.8618980951
0.0580,0.40,0.8581562937
0.0600,0.40,0.8544584426
0.0620,0.40,0.8508032845
0.0640,0.40,0.8471896418
0.0660,0.40,0.8436164093
0.0680,0.40,0.8400825474
0.0700,0.40,0.8365870771
0.0720,0.40,0.8331290740
0.0740,0.40,0.8297076645
0.0760,0.40,0.8263220212
0.0780,0.40,0.8229713597
0.0800,0.40,0.8196549349
0.0820,0.40,0.8163720386
0.0840,0.40,0.8131219965
0.0860,0.40,0.8099041658
0.0880,0.40,0.8067179332
0.0900,0.40,0.8035627128
0.0920,0.40,0.8004379442
0.0940,0.40,0.7973430913
0.0960,0.40,0.7942776402
0.0980,0.40,0.7912410981
0.1000,0.40,0.7882329921
0.1020,0.40,0.7852528680
0.1040,0.40,0.7823002890
0.1060,0.40,0.7793748350
0.1080,0.40,0.7764761015
0.1100,0.40,0.7736036988
0.1120,0.40,0.7707572512
0.1140,0.40,0.7679363963
0.1160,0.40,0.7651407841
0.1180,0.40,0.7623700767
0.1200,0.40,0.7596239476
0.1220,0.40,0.7569020809
0.1240,0.40,0.7542041711
0.1260,0.40,0.7515299225
0.1280,0.40,0.7488790486
0.1300,0.40,0.7462512718
0.1320,0.40,0.7436463231
0.1340,0.40,0.7410639416
0.1360,0.40,0.7385038740
0.1380,0.40,0.7359658747
0.1400,0.40,0.7334497049
0.1420,0.40,0.7309551329
0.1440,0.40,0.7284819332
0.1460,0.40,0.7260298870
0.1480,0.40,0.7235987811
0.1500,0.40,0.7211884083
0.1520,0.40,0.7187985668
0.1540,0.40,0.7164290604
0.1560,0.40,0.7140796978
0.1580,0.40,0.7117502926
0.1600,0.40,0.7094406634
0.1620,0.40,0.7071506332
0.1640,0.40,0.7048800295
0.1660,0.40,0.7026286840
0.1680,0.40,0.7003964326
0.1700,0.40,0.6981831150
0.1720,0.40,0.6959885751
0.1740,0.40,0.6938126600
0.1760,0.40,0.6916552209
0.1780,0.40,0.6895161120
0.1800,0.40,0.6873951912
0.1820,0.40,0.6852923194
0.1840,0.40,0.6832073609
0.1860,0.40,0.6811401828
0.1880,0.40,0.6790906553
0.1900,0.40,0.6770586513
0.1920,0.40,0.6750440467
0.1940,0.40,0.6730467198
0.1960,0.40,0.6710665517
0.1980,0.40,0.6691034261
0.2000,0.40,0.6671572290
0.2020,0.40,0.6652278488
0.2040,0.40,0.6633151763
0.2060,0.40,0.6614191044
0.2080,0.40,0.6595395285
0.2100,0.40,0.6576763457
0.2120,0.40,0.6558294555
0.2140,0.40,0.6539987594
0.2160,0.40,0.6521841607
0.2180,0.40,0.6503855646
0.2200,0.40,0.6486028784
0.2220,0.40,0.6468360110
0.2240,0.40,0.6450848731
0.2260,0.40,0.6433493773
0.2280,0.40,0.6416294375
0.2300,0.40,0.6399249696
0.2320,0.40,0.6382358910
0.2340,0.40,0.6365621206
0.2360,0.40,0.6349035788
0.2380,0.40,0.6332601875
0.2400,0.40,0.6316318701
0.2420,0.40,0.6300185515
0.2440,0.40,0.6284201577
0.2460,0.40,0.6268366163
0.2480,0.40,0.6252678562
0.2500,0.40,0.6237138075
0.2520,0.40,0.6221744016
0.2540,0.40,0.6206495711
0.2560,0.40,0.6191392499
0.2580,0.40,0.6176433729
0.2600,0.40,0.6161618764
0.2620,0.40,0.6146946977
0.2640,0.40,0.6132417751
0.2660,0.40,0.6118030482
0.2680,0.40,0.6103784575
0.2700,0.40,0.6089679447
0.2720,0.40,0.6075714523
0.2740,0.40,0.6061889241
0.2760,0.40,0.6048203045
0.2780,0.40,0.6034655391
0.2800,0.40,0.6021245745
0.2820,0.40,0.6007973581
0.2840,0.40,0.5994838382
0.2860,0.40,0.5981839640
0.2880,0.40,0.5968976857
0.2900,0.40,0.5956249541
0.2920,0.40,0.5943657211
0.2940,0.40,0.5931199393
0.2960,0.40,0.5918875620
0.2980,0.40,0.5906685437
0.3000,0.40,0.5894628391
0.3020,0.40,0.5882704042
0.3040,0.40,0.5870911954
0.3060,0.40,0.5859251701
0.3080,0.40,0.5847722862
0.3100,0.40,0.5836325024
0.3120,0.40,0.5825057782
0.3140,0.40,0.5813920737
0.3160,0.40,0.5802913497
0.3180,0.40,0.5792035677
0.3200,0.40,0.5781286898
0.3220,0.40,0.5770666789
0.3240,0.40,0.5760174982
0.3260,0.40,0.5749811120
0.3280,0.40,0.5739574849
0.3300,0.40,0.5729465822
0.3320,0.40,0.5719483697
0.3340,0.40,0.5709628141
0.3360,0.40,0.5699898824
0.3380,0.40,0.5690295421
0.3400,0.40,0.5680817617
0.3420,0.40,0.5671465098
0.3440,0.40,0.5662237558
0.3460,0.40,0.5653134696
0.3480,0.40,0.5644156217
0.3500,0.40,0.5635301829
0.3520,0.40,0.5626571249
0.3540,0.40,0.5617964195
0.3560,0.40,0.5609480393
0.3580,0.40,0.5601119573
0.3600,0.40,0.5592881471
0.3620,0.40,0.5584765826
0.3640,0.40,0.5576772384
0.3660,0.40,0.5568900894
0.3680,0.40,0.5561151111
0.3700,0.40,0.5553522794
0.3720,0.40,0.5546015707
0.3740,0.40,0.5538629618
0.3760,0.40,0.5531364301
0.3780,0.40,0.5524219533
0.3800,0.40,0.5517195095
0.3820,0.40,0.5510290774
0.3840,0.40,0.5503506361
0.3860,0.40,0.5496841651
0.3880,0.40,0.5490296442
0.3900,0.40,0.5483870539
0.3920,0.40,0.5477563748
0.3940,0.40,0.5471375882
0.3960,0.40,0.5465306755
0.3980,0.40,0.5459356189
0.4000,0.40,0.5453524007
0.4020,0.40,0.5447810036
0.4040,0.40,0.5442214109
0.4060,0.40,0.5436736060
0.4080,0.40,0.5431375731
0.4100,0.40,0.5426132963
0.4120,0.40,0.5421007604
0.4140,0.40,0.5415999506
0.4160,0.40,0.5411108522
0.4180,0.40,0.5406334512
0.4200,0.40,0.5401677337
0.4220,0.40,0.5397136863
0.4240,0.40,0.5392712960
0.4260,0.40,0.5388405500
