# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.3900,0.10,0.7825953589
0.3920,0.10,0.7837266811
0.3940,0.10,0.7848561106
0.3960,0.10,0.7859836423
0.3980,0.10,0.7871092711
0.4000,0.10,0.7882329921
0.4020,0.10,0.7893548001
0.4040,0.10,0.7904746899
0.4060,0.10,0.7915926565
0.4080,0.10,0.7927086947
0.4100,0.10,0.7938227992
0.4120,0.10,0.7949349649
0.4140,0.10,0.7960451866
0.4160,0.10,0.7971534589
0.4180,0.10,0.7982597766
0.4200,0.10,0.7993641344
0.4220,0.10,0.8004665269
0.4240,0.10,0.8015669487
0.4260,0.10,0.8026653946
0.4280,0.10,0.8037618590
0.4300,0.10,0.8048563366
0.4320,0.10,0.8059488218
0.4340,0.10,0.8070393092
0.4360,0.10,0.8081277933
0.4380,0.10,0.8092142684
0.4400,0.10,0.8102987292
0.4420,0.10,0.8113811698
0.4440,0.10,0.8124615849
0.4460,0.10,0.8135399686
0.4480,0.10,0.8146163153
0.4500,0.10,0.8156906193
0.4520,0.10,0.8167628748
0.4540,0.10,0.8178330762
0.4560,0.10,0.8189012176
0.4580,0.10,0.8199672931
0.4600,0.10,0.8210312971
0.4620,0.10,0.8220932235
0.4640,0.10,0.8231530665
0.4660,0.10,0.8242108201
0.4680,0.10,0.8252664784
0.4700,0.10,0.8263200354
0.4720,0.10,0.8273714850
0.4740,0.10,0.8284208213
0.4760,0.10,0.8294680380
0.4780,0.10,0.8305131292
0.4800,0.10,0.8315560887
0.4820,0.10,0.8325969102
0.4840,0.10,0.8336355877
0.4860,0.10,0.8346721147
0.4880,0.10,0.8357064852
0.4900,0.10,0.8367386927
0.4920,0.10,0.8377687310
0.4940,0.10,0.8387965936
0.4960,0.10,0.8398222742
0.4980,0.10,0.8408457663
0.5000,0.10,0.8418670634
0.5020,0.10,0.8428861592
0.5040,0.10,0.8439030469
0.5060,0.10,0.8449177201
0.5080,0.10,0.8459301722
0.5100,0.10,0.8469403964
0.5120,0.10,0.8479483862
0.5140,0.10,0.8489541348
0.5160,0.10,0.8499576355
0.5180,0.10,0.8509588815
0.5200,0.10,0.8519578659
0.5220,0.10,0.8529545820
0.5240,0.10,0.8539490227
0.5260,0.10,0.8549411813
0.5280,0.10,0.8559310507
0.5300,0.10,0.8569186239
0.5320,0.10,0.8579038939
0.5340,0.10,0.8588868535
0.5360,0.10,0.8598674958
0.5380,0.10,0.8608458134
0.5400,0.10,0.8618217993
0.5420,0.10,0.8627954461
0.5440,0.10,0.8637667466
0.5460,0.10,0.8647356934
0.5480,0.10,0.8657022792
0.5500,0.10,0.8666664967
0.5520,0.10,0.8676283382
0.5540,0.10,0.8685877964
0.5560,0.10,0.8695448638
0.5580,0.10,0.8704995327
0.5600,0.10,0.8714517955
0.5620,0.10,0.8724016445
0.5640,0.10,0.8733490722
0.5660,0.10,0.8742940706
0.5680,0.10,0.8752366320
0.5700,0.10,0.8761767486
0.5720,0.10,0.8771144125
0.5740,0.10,0.8780496157
0.5760,0.10,0.8789823503
0.5780,0.10,0.8799126082
0.5800,0.10,0.8808403814
0.5820,0.10,0.8817656617
0.5840,0.10,0.8826884409
0.5860,0.10,0.8836087109
0.5880,0.10,0.8845264634
0.5900,0.10,0.8854416900
0.5920,0.10,0.8863543823
0.5940,0.10,0.8872645320
0.5960,0.10,0.8881721306
0.5980,0.10,0.8890771696
0.6000,0.10,0.8899796402
0.6020,0.10,0.8908795341
0.6040,0.10,0.8917768423
0.6060,0.10,0.8926715563
0.6080,0.10,0.8935636672
0.6100,0.10,0.8944531661
0.6120,0.10,0.8953400442
0.6140,0.10,0.8962242925
0.6160,0.10,0.8971059019
0.6180,0.10,0.8979848634
0.6200,0.10,0.8988611679
0.6220,0.10,0.8997348061
0.6240,0.10,0.9006057688
0.6260,0.10,0.9014740467
0.6280,0.10,0.9023396304
0.6300,0.10,0.9032025105
0.6320,0.10,0.9040626774
0.6340,0.10,0.9049201217
0.6360,0.10,0.9057748336
0.6380,0.10,0.9066268035
0.6400,0.10,0.9074760217
0.6420,0.10,0.9083224783
0.6440,0.10,0.9091661634
0.6460,0.10,0.9100070670
0.6480,0.10,0.9108451792
0.6500,0.10,0.9116804899
0.6520,0.10,0.9125129889
0.6540,0.10,0.9133426660
0.6560,0.10,0.9141695108
0.6580,0.10,0.9149935130
0.6600,0.10,0.9158146621
0.6620,0.10,0.9166329477
0.6640,0.10,0.9174483591
0.6660,0.10,0.9182608857
0.6680,0.10,0.9190705167
0.6700,0.10,0.9198772413
0.6720,0.10,0.9206810486
0.6740,0.10,0.9214819276
0.6760,0.10,0.9222798673
0.6780,0.10,0.9230748564
0.6800,0.10,0.9238668839
0.6820,0.10,0.9246559383
0.6840,0.10,0.9254420084
0.6860,0.10,0.9262250825
0.6880,0.10,0.9270051492
0.6900,0.10,0.9277821968
0.6920,0.10,0.9285562136
0.6940,0.10,0.9293271878
0.6960,0.10,0.9300951074
0.6980,0.10,0.9308599603
0.7000,0.10,0.9316217347
0.7020,0.10,0.9323804181
0.7040,0.10,0.9331359984
0.7060,0.10,0.9338884631
0.7080,0.10,0.9346377997
0.7100,0.10,0.9353839958
0.7120,0.10,0.9361270385
0.7140,0.10,0.9368669151
0.7160,0.10,0.9376036127
0.7180,0.10,0.9383371183
0.7200,0.10,0.9390674188
0.7220,0.10,0.9397945010
0.7240,0.10,0.9405183515
0.7260,0.10,0.9412389570
0.7280,0.10,0.9419563039
0.7300,0.10,0.9426703785
0.7320,0.10,0.9433811670
0.7340,0.10,0.9440886556
0.7360,0.10,0.9447928302
0.7380,0.10,0.9454936767
0.7400,0.10,0.9461911808
0.7420,0.10,0.9468853282
0.7440,0.10,0.9475761044
0.7460,0.10,0.9482634946
0.7480,0.10,0.9489474842
0.7500,0.10,0.9496280583
0.7520,0.10,0.9503052017
0.7540,0.10,0.9509788993
0.7560,0.10,0.9516491358
0.7580,0.10,0.9523158958
0.7600,0.10,0.9529791636
0.7620,0.10,0.9536389235
0.7640,0.10,0.9542951596
0.7660,0.10,0.9549478558
0.7680,0.10,0.9555969960
0.7700,0.10,0.9562425638
0.7720,0.10,0.9568845426
0.7740,0.10,0.9575229158
0.7760,0.10,0.9581576666
0.7780,0.10,0.9587887779
0.7800,0.10,0.9594162325
0.7820,0.10,0.9600400132
0.7840,0.10,0.9606601023
0.7860,0.10,0.9612764821
0.7880,0.10,0.9618891348
0.7900,0.10,0.9624980422
0.7920,0.10,0.9631031862
0.7940,0.10,0.9637045481
0.7960,0.10,0.9643021094
0.7980,0.10,0.9648958512
0.8000,0.10,0.9654857544
0.8020,0.10,0.9660717998
0.8040,0.10,0.9666539678
0.8060,0.10,0.9672322387
0.8080,0.10,0.9678065926
0.8100,0.10,0.9683770094
0.8120,0.10,0.9689434685
0.8140,0.10,0.9695059495
0.8160,0.10,0.9700644314
0.8180,0.10,0.9706188932
0.8200,0.10,0.9711693133
0.8220,0.10,0.9717156703
0.8240,0.10,0.9722579423
0.8260,0.10,0.9727961070
0.8280,0.10,0.9733301420
0.8300,0.10,0.9738600246
0.8320,0.10,0.9743857319
0.8340,0.10,0.9749072405
0.8360,0.10,0.9754245268
0.8380,0.10,0.9759375669
0.8400,0.10,0.9764463367
0.8420,0.10,0.9769508114
0.8440,0.10,0.9774509663
0.8460,0.10,0.9779467762
0.8480,0.10,0.9784382154
0.8500,0.10,0.9789252581
0.8520,0.10,0.9794078779
0.8540,0.10,0.9798860482
0.8560,0.10,0.9803597420
0.8580,0.10,0.9808289316
0.8600,0.10,0.9812935894
0.8620,0.10,0.9817536870
0.8640,0.10,0.9822091956
0.8660,0.10,0.9826600862
0.8680,0.10,0.9831063291
0.8700,0.10,0.9835478942
0.8720,0.10,0.9839847509
0.8740,0.10,0.9844168681
0.8760,0.10,0.9848442143
0.8780,0.10,0.9852667574
0.8800,0.10,0.9856844645
0.8820,0.10,0.9860973025
0.8840,0.10,0.9865052376
0.8860,0.10,0.9869082353
0.8880,0.10,0.9873062606
0.8900,0.10,0.9876992776
0.8920,0.10,0.9880872501
0.8940,0.10,0.9884701410
0.8960,0.10,0.9888479124
0.8980,0.10,0.9892205257
0.9000,0.10,0.9895879417
0.9020,0.10,0.9899501201
0.9040,0.10,0.9903070201
0.9060,0.10,0.9906585996
0.9080,0.10,0.9910048160
0.9100,0.10,0.9913456254
0.9120,0.10,0.9916809833
0.9140,0.10,0.9920108437
0.9160,0.10,0.9923351598
0.9180,0.10,0.9926538837
0.9200,0.10,0.9929669662
0.9220,0.10,0.9932743568
0.9240,0.10,0.9935760037
0.9260,0.10,0.9938718540
0.9280,0.10,0.9941618529
0.9300,0.10,0.9944459444
0.9320,0.10,0.9947240708
0.9340,0.10,0.9949961726
0.9360,0.10,0.9952621885
0.9380,0.10,0.9955220555
0.9400,0.10,0.9957757082
0.9420,0.10,0.9960230792
0.9440,0.10,0.9962640989
0.9460,0.10,0.9964986951
0.9480,0.10,0.9967267928
0.9500,0.10,0.9969483143
0.9520,0.10,0.9971631787
0.9540,0.10,0.9973713019
0.9560,0.10,0.9975725960
0.9580,0.10,0.9977669692
0.9600,0.10,0.9979543255
0.9620,0.10,0.9981345640
0.9640,0.10,0.9983075787
0.9660,0.10,0.9984732577
0.9680,0.10,0.9986314826
0.9700,0.10,0.9987821280
0.9720,0.10,0.9989250602
