# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.7000,0.20,0.8899796402
0.7020,0.20,0.8911789245
0.7040,0.20,0.8923736071
0.7060,0.20,0.8935636672
0.7080,0.20,0.8947490838
0.7100,0.20,0.8959298358
0.7120,0.20,0.8971059019
0.7140,0.20,0.8982772606
0.7160,0.20,0.8994438902
0.7180,0.20,0.9006057688
0.7200,0.20,0.9017628744
0.7220,0.20,0.9029151848
0.7240,0.20,0.9040626774
0.7260,0.20,0.9052053297
0.7280,0.20,0.9063431188
0.7300,0.20,0.9074760217
0.7320,0.20,0.9086040150
0.7340,0.20,0.9097270755
0.7360,0.20,0.9108451792
0.7380,0.20,0.9119583025
0.7400,0.20,0.9130664211
0.7420,0.20,0.9141695108
0.7440,0.20,0.9152675469
0.7460,0.20,0.9163605047
0.7480,0.20,0.9174483591
0.7500,0.20,0.9185310850
0.7520,0.20,0.9196086567
0.7540,0.20,0.9206810486
0.7560,0.20,0.9217482346
0.7580,0.20,0.9228101886
0.7600,0.20,0.9238668839
0.7620,0.20,0.9249182938
0.7640,0.20,0.9259643914
0.7660,0.20,0.9270051492
0.7680,0.20,0.9280405398
0.7700,0.20,0.9290705352
0.7720,0.20,0.9300951074
0.7740,0.20,0.9311142278
0.7760,0.20,0.9321278678
0.7780,0.20,0.9331359984
0.7800,0.20,0.9341385901
0.7820,0.20,0.9351356135
0.7840,0.20,0.9361270385
0.7860,0.20,0.9371128348
0.7880,0.20,0.9380929719
0.7900,0.20,0.9390674188
0.7920,0.20,0.9400361442
0.7940,0.20,0.9409991166
0.7960,0.20,0.9419563039
0.7980,0.20,0.9429076738
0.8000,0.20,0.9438531936
0.8020,0.20,0.9447928302
0.8040,0.20,0.9457265501
0.8060,0.20,0.9466543196
0.8080,0.20,0.9475761044
0.8100,0.20,0.9484918698
0.8120,0.20,0.9494015807
0.8140,0.20,0.9503052017
0.8160,0.20,0.9512026968
0.8180,0.20,0.9520940297
0.8200,0.20,0.9529791636
0.8220,0.20,0.9538580612
0.8240,0.20,0.9547306847
0.8260,0.20,0.9555969960
0.8280,0.20,0.9564569563
0.8300,0.20,0.9573105264
0.8320,0.20,0.9581576666
0.8340,0.20,0.9589983366
0.8360,0.20,0.9598324956
0.8380,0.20,0.9606601023
0.8400,0.20,0.9614811147
0.8420,0.20,0.9622954903
0.8440,0.20,0.9631031862
0.8460,0.20,0.9639041584
0.8480,0.20,0.9646983629
0.8500,0.20,0.9654857544
0.8520,0.20,0.9662662876
0.8540,0.20,0.9670399160
0.8560,0.20,0.9678065926
0.8580,0.20,0.9685662698
0.8600,0.20,0.9693188992
0.8620,0.20,0.9700644314
0.8640,0.20,0.9708028167
0.8660,0.20,0.9715340041
0.8680,0.20,0.9722579423
0.8700,0.20,0.9729745786
0.8720,0.20,0.9736838599
0.8740,0.20,0.9743857319
0.8760,0.20,0.9750801396
0.8780,0.20,0.9757670269
0.8800,0.20,0.9764463367
0.8820,0.20,0.9771180109
0.8840,0.20,0.9777819906
0.8860,0.20,0.9784382154
0.8880,0.20,0.9790866241
0.8900,0.20,0.9797271542
0.8920,0.20,0.9803597420
0.8940,0.20,0.9809843225
0.8960,0.20,0.9816008296
0.8980,0.20,0.9822091956
0.9000,0.20,0.9828093517
0.9020,0.20,0.9834012275
0.9040,0.20,0.9839847509
0.9060,0.20,0.9845598486
0.9080,0.20,0.9851264454
0.9100,0.20,0.9856844645
0.9120,0.20,0.9862338274
0.9140,0.20,0.9867744535
0.9160,0.20,0.9873062606
0.9180,0.20,0.9878291641
0.9200,0.20,0.9883430777
0.9220,0.20,0.9888479124
0.9240,0.20,0.9893435771
0.9260,0.20,0.9898299784
0.9280,0.20,0.9903070201
0.9300,0.20,0.9907746031
0.9320,0.20,0.9912326258
0.9340,0.20,0.9916809833
0.9360,0.20,0.9921195674
0.9380,0.20,0.9925482668
0.9400,0.20,0.9929669662
0.9420,0.20,0.9933755465
0.9440,0.20,0.9937738847
0.9460,0.20,0.9941618529
0.9480,0.20,0.9945393189
0.9500,0.20,0.9949061451
0.9520,0.20,0.9952621885
0.9540,0.20,0.9956073001
0.9560,0.20,0.9959413244
0.9580,0.20,0.9962640989
0.9600,0.20,0.9965754535
0.9620,0.20,0.9968752094
0.9640,0.20,0.9971631787
0.9660,0.20,0.9974391631
0.9680,0.20,0.9977029529
0.9700,0.20,0.9979543255
0.9720,0.20,0.9981930436
0.9740,0.20,0.9984188536
0.9760,0.20,0.9986314826
0.9780,0.20,0.9988306360
0.9800,0.20,0.9990159930
0.9820,0.20,0.9991872022
0.9840,0.20,0.9993438746
0.9860,0.20,0.9994855751
0.9880,0.20,0.9996118098
0.9900,0.20,0.9997220079
0.9920,0.20,0.9998154928
0.9940,0.20,0.9998914338
0.9960,0.20,0.9999487535
0.9980,0.20,0.9999859084
1.0000,0.20,1.0000000000
0.0000,0.30,0.1187091008
0.0020,0.30,0.1212752286
0.0040,0.30,0.1238395610
0.0060,0.30,0.1264020938
0.0080,0.30,0.1289628228
0.0100,0.30,0.1315217439
0.0120,0.30,0.1340788526
0.0140,0.30,0.1366341449
0.0160,0.30,0.1391876164
0.0180,0.30,0.1417392629
0.0200,0.30,0.1442890800
0.0220,0.30,0.1468370634
0.0240,0.30,0.1493832088
0.0260,0.30,0.1519275118
0.0280,0.30,0.1544699682
0.0300,0.30,0.1570105734
0.0320,0.30,0.1595493231
0.0340,0.30,0.1620862129
0.0360,0.30,0.1646212383
0.0380,0.30,0.1671543950
0.0400,0.30,0.1696856784
0.0420,0.30,0.1722150841
0.0440,0.30,0.1747426075
0.0460,0.30,0.1772682442
0.0480,0.30,0.1797919897
0.0500,0.30,0.1823138393
0.0520,0.30,0.1848337885
0.0540,0.30,0.1873518327
0.0560,0.30,0.1898679674
0.0580,0.30,0.1923821879
0.0600,0.30,0.1948944896
0.0620,0.30,0.1974048678
0.0640,0.30,0.1999133179
0.0660,0.30,0.2024198352
0.0680,0.30,0.2049244149
0.0700,0.30,0.2074270524
0.0720,0.30,0.2099277429
0.0740,0.30,0.2124264817
0.0760,0.30,0.2149232640
0.0780,0.30,0.2174180849
0.0800,0.30,0.2199109397
0.0820,0.30,0.2224018236
0.0840,0.30,0.2248907316
0.0860,0.30,0.2273776590
0.0880,0.30,0.2298626008
0.0900,0.30,0.2323455521
0.0920,0.30,0.2348265081
0.0940,0.30,0.2373054637
0.0960,0.30,0.2397824140
0.0980,0.30,0.2422573540
0.1000,0.30,0.2447302787
0.1020,0.30,0.2472011832
0.1040,0.30,0.2496700622
0.1060,0.30,0.2521369109
0.1080,0.30,0.2546017241
0.1100,0.30,0.2570644966
0.1120,0.30,0.2595252235
0.1140,0.30,0.2619838995
0.1160,0.30,0.2644405195
0.1180,0.30,0.2668950783
0.1200,0.30,0.2693475707
0.1220,0.30,0.2717979915
0.1240,0.30,0.2742463354
0.1260,0.30,0.2766925972
0.1280,0.30,0.2791367716
0.1300,0.30,0.2815788533
0.1320,0.30,0.2840188369
0.1340,0.30,0.2864567171
0.1360,0.30,0.2888924886
0.1380,0.30,0.2913261459
0.1400,0.30,0.2937576836
0.1420,0.30,0.2961870964
0.1440,0.30,0.2986143786
0.1460,0.30,0.3010395250
0.1480,0.30,0.3034625299
0.1500,0.30,0.3058833878
0.1520,0.30,0.3083020932
0.1540,0.30,0.3107186405
0.1560,0.30,0.3131330242
0.1580,0.30,0.3155452386
0.1600,0.30,0.3179552781
0.1620,0.30,0.3203631370
0.1640,0.30,0.3227688096
0.1660,0.30,0.3251722903
0.1680,0.30,0.3275735732
0.1700,0.30,0.3299726527
0.1720,0.30,0.3323695230
0.1740,0.30,0.3347641783
0.1760,0.30,0.3371566127
0.1780,0.30,0.3395468204
0.1800,0.30,0.3419347955
0.1820,0.30,0.3443205322
0.1840,0.30,0.3467040244
0.1860,0.30,0.3490852663
0.1880,0.30,0.3514642519
0.1900,0.30,0.3538409752
0.1920,0.30,0.3562154302
0.1940,0.30,0.3585876108
0.1960,0.30,0.3609575109
0.1980,0.30,0.3633251245
0.2000,0.30,0.3656904454
0.2020,0.30,0.3680534674
0.2040,0.30,0.3704141845
0.2060,0.30,0.3727725904
0.2080,0.30,0.3751286788
0.2100,0.30,0.3774824435
0.2120,0.30,0.3798338783
0.2140,0.30,0.3821829768
0.2160,0.30,0.3845297327
0.2180,0.30,0.3868741396
0.2200,0.30,0.3892161911
0.2220,0.30,0.3915558809
0.2240,0.30,0.3938932024
0.2260,0.30,0.3962281492
0.2280,0.30,0.3985607148
0.2300,0.30,0.4008908927
0.2320,0.30,0.4032186763
0.2340,0.30,0.4055440590
0.2360,0.30,0.4078670342
0.2380,0.30,0.4101875953
0.2400,0.30,0.4125057355
0.2420,0.30,0.4148214482
0.2440,0.30,0.4171347267
0.2460,0.30,0.4194455642
0.2480,0.30,0.4217539539
0.2500,0.30,0.4240598890
0.2520,0.30,0.4263633625
0.2540,0.30,0.4286643678
0.2560,0.30,0.4309628977
0.2580,0.30,0.4332589455
0.2600,0.30,0.4355525040
0.2620,0.30,0.4378435664
0.2640,0.30,0.4401321256
0.2660,0.30,0.4424181744
0.2680,0.30,0.4447017059
0.2700,0.30,0.4469827128
0.2720,0.30,0.4492611880
0.2740,0.30,0.4515371244
0.2760,0.30,0.4538105146
0.2780,0.30,0.4560813514
0.2800,0.30,0.4583496276
0.2820,0.30,0.4606153358
0.2840,0.30,0.4628784686
0.2860,0.30,0.4651390186
0.2880,0.30,0.4673969785
0.2900,0.30,0.4696523407
0.2920,0.30,0.4719050978
0.2940,0.30,0.4741552422
0.2960,0.30,0.4764027663
0.2980,0.30,0.4786476626
0.3000,0.30,0.4808899234
0.3020,0.30,0.4831295411
0.3040,0.30,0.4853665079
0.3060,0.30,0.4876008160
0.3080,0.30,0.4898324578
0.3100,0.30,0.4920614254
0.3120,0.30,0.4942877109
0.3140,0.30,0.4965113065
0.3160,0.30,0.4987322042
0.3180,0.30,0.5009503961
0.3200,0.30,0.5031658741
0.3220,0.30,0.5053786302
0.3240,0.30,0.5075886564
0.3260,0.30,0.5097959445
0.3280,0.30,0.5120004863
0.3300,0.30,0.5142022738
0.3320,0.30,0.5164012986
0.3340,0.30,0.5185975524
0.3360,0.30,0.5207910270
0.3380,0.30,0.5229817140
0.3400,0.30,0.5251696050
0.3420,0.30,0.5273546916
0.3440,0.30,0.5295369653
0.3460,0.30,0.5317164176
0.3480,0.30,0.5338930399
0.3500,0.30,0.5360668236
0.3520,0.30,0.5382377601
0.3540,0.30,0.5404058407
0.3560,0.30,0.5425710567
0.3580,0.30,0.5447333993
0.3600,0.30,0.5468928597
0.3620,0.30,0.5490494291
0.3640,0.30,0.5512030985
0.3660,0.30,0.5533538590
0.3680,0.30,0.5555017016
0.3700,0.30,0.5576466173
0.3720,0.30,0.5597885970
0.3740,0.30,0.5619276316
0.3760,0.30,0.5640637118
0.3780,0.30,0.5661968286
0.3800,0.30,0.5683269726
0.3820,0.30,0.5704541346
0.3840,0.30,0.5725783051
0.3860,0.30,0.5746994747
0.3880,0.30,0.5768176341
0.3900,0.30,0.5789327737
0.3920,0.30,0.5810448840
0.3940,0.30,0.5831539553
0.3960,0.30,0.5852599781
0.3980,0.30,0.5873629426
0.4000,0.30,0.5894628391
0.4020,0.30,0.5915596578
0.4040,0.30,0.5936533889
0.4060,0.30,0.5957440223
0.4080,0.30,0.5978315483
0.4100,0.30,0.5999159568
0.4120,0.30,0.6019972377
0.4140,0.30,0.6040753810
0.4160,0.30,0.6061503765
0.4180,0.30,0.6082222139
0.4200,0.30,0.6102908830
0.4220,0.30,0.6123563736
0.4240,0.30,0.6144186751
0.4260,0.30,0.6164777772
0.4280,0.30,0.6185336694
0.4300,0.30,0.6205863411
0.4320,0.30,0.6226357818
0.4340,0.30,0.6246819808
0.4360,0.30,0.6267249274
0.4380,0.30,0.6287646108
0.4400,0.30,0.6308010202
0.4420,0.30,0.6328341447
0.4440,0.30,0.6348639733
0.4460,0.30,0.6368904951
0.4480,0.30,0.6389136989
0.4500,0.30,0.6409335738
0.4520,0.30,0.6429501083
0.4540,0.30,0.6449632914
0.4560,0.30,0.6469731117
0.4580,0.30,0.6489795579
0.4600,0.30,0.6509826184
0.4620,0.30,0.6529822818
0.4640,0.30,0.6549785365
0.4660,0.30,0.6569713709
0.4680,0.30,0.6589607734
0.4700,0.30,0.6609467320
0.4720,0.30,0.6629292351
0.4740,0.30,0.6649082707
0.4760,0.30,0.6668838269
0.4780,0.30,0.6688558916
0.4800,0.30,0.6708244527
0.4820,0.30,0.6727894981
0.4840,0.30,0.6747510155
0.4860,0.30,0.6767089927
0.4880,0.30,0.6786634172
0.4900,0.30,0.6806142765
0.4920,0.30,0.6825615583
0.4940,0.30,0.6845052498
0.4960,0.30,0.6864453385
0.4980,0.30,0.6883818115
0.5000,0.30,0.6903146561
0.5020,0.30,0.6922438593
0.5040,0.30,0.6941694083
0.5060,0.30,0.6960912899
0.5080,0.30,0.6980094910
0.5100,0.30,0.6999239985
0.5120,0.30,0.7018347990
0.5140,0.30,0.7037418792
0.5160,0.30,0.7056452257
0.5180,0.30,0.7075448250
0.5200,0.30,0.7094406634
0.5220,0.30,0.7113327273
0.5240,0.30,0.7132210028
0.5260,0.30,0.7151054763
0.5280,0.30,0.7169861336
0.5300,0.30,0.7188629609
0.5320,0.30,0.7207359440
0.5340,0.30,0.7226050687
0.5360,0.30,0.7244703207
0.5380,0.30,0.7263316857
0.5400,0.30,0.7281891492
0.5420,0.30,0.7300426967
0.5440,0.30,0.7318923136
0.5460,0.30,0.7337379850
0.5480,0.30,0.7355796962
0.5500,0.30,0.7374174324
0.5520,0.30,0.7392511783
0.5540,0.30,0.7410809191
0.5560,0.30,0.7429066394
0.5580,0.30,0.7447283239
0.5600,0.30,0.7465459574
0.5620,0.30,0.7483595242
0.5640,0.30,0.7501690088
0.5660,0.30,0.7519743955
0.5680,0.30,0.7537756685
0.5700,0.30,0.7555728118
0.5720,0.30,0.7573658096
0.5740,0.30,0.7591546457
0.5760,0.30,0.7609393038
0.5780,0.30,0.7627197677
0.5800,0.30,0.7644960208
0.5820,0.30,0.7662680468
0.5840,0.30,0.7680358289
0.5860,0.30,0.7697993504
0.5880,0.30,0.7715585943
0.5900,0.30,0.7733135438
0.5920,0.30,0.7750641816
0.5940,0.30,0.7768104907
0.5960,0.30,0.7785524536
0.5980,0.30,0.7802900529
0.6000,0.30,0.7820232710
0.6020,0.30,0.7837520903
0.6040,0.30,0.7854764929
0.6060,0.30,0.7871964608
0.6080,0.30,0.7889119761
0.6100,0.30,0.7906230204
0.6120,0.30,0.7923295756
0.6140,0.30,0.7940316231
0.6160,0.30,0.7957291444
0.6180,0.30,0.7974221207
0.6200,0.30,0.7991105333
0.6220,0.30,0.8007943631
0.6240,0.30,0.8024735910
0.6260,0.30,0.8041481977
0.6280,0.30,0.8058181640
0.6300,0.30,0.8074834702
0.6320,0.30,0.8091440967
0.6340,0.30,0.8108000236
0.6360,0.30,0.8124512310
0.6380,0.30,0.8140976988
0.6400,0.30,0.8157394067
0.6420,0.30,0.8173763343
0.6440,0.30,0.8190084610
0.6460,0.30,0.8206357661
0.6480,0.30,0.8222582288
0.6500,0.30,0.8238758280
0.6520,0.30,0.8254885426
0.6540,0.30,0.8270963511
0.6560,0.30,0.8286992320
0.6580,0.30,0.8302971638
0.6600,0.30,0.8318901244
0.6620,0.30,0.8334780919
0.6640,0.30,0.8350610442
0.6660,0.30,0.8366389588
0.6680,0.30,0.8382118132
0.6700,0.30,0.8397795846
0.6720,0.30,0.8413422503
0.6740,0.30,0.8428997871
0.6760,0.30,0.8444521717
0.6780,0.30,0.8459993807
0.6800,0.30,0.8475413904
0.6820,0.30,0.8490781771
0.6840,0.30,0.8506097166
0.6860,0.30,0.8521359848
0.6880,0.30,0.8536569572
0.6900,0.30,0.8551726092
0.6920,0.30,0.8566829159
0.6940,0.30,0.8581878524
0.6960,0.30,0.8596873934
0.6980,0.30,0.8611815134
0.7000,0.30,0.8626701867
0.7020,0.30,0.8641533874
0.7040,0.30,0.8656310895
0.7060,0.30,0.8671032666
0.7080,0.30,0.8685698920
0.7100,0.30,0.8700309390
0.7120,0.30,0.8714863806
0.7140,0.30,0.8729361895
0.7160,0.30,0.8743803381
0.7180,0.30,0.8758187988
0.7200,0.30,0.8772515434
0.7220,0.30,0.8786785438
0.7240,0.30,0.8800997714
0.7260,0.30,0.8815151974
0.7280,0.30,0.8829247928
0.7300,0.30,0.8843285284
0.7320,0.30,0.8857263744
0.7340,0.30,0.8871183011
0.7360,0.30,0.8885042784
0.7380,0.30,0.8898842758
0.7400,0.30,0.8912582626
0.7420,0.30,0.8926262078
0.7440,0.30,0.8939880802
0.7460,0.30,0.8953438482
0.7480,0.30,0.8966934798
0.7500,0.30,0.8980369429
0.7520,0.30,0.8993742048
0.7540,0.30,0.9007052329
0.7560,0.30,0.9020299939
0.7580,0.30,0.9033484543
0.7600,0.30,0.9046605803
0.7620,0.30,0.9059663377
0.7640,0.30,0.9072656919
0.7660,0.30,0.9085586082
0.7680,0.30,0.9098450511
0.7700,0.30,0.9111249852
0.7720,0.30,0.9123983744
0.7740,0.30,0.9136651824
0.7760,0.30,0.9149253724
0.7780,0.30,0.9161789074
0.7800,0.30,0.9174257496
0.7820,0.30,0.9186658612
0.7840,0.30,0.9198992039
0.7860,0.30,0.9211257388
0.7880,0.30,0.9223454267
0.7900,0.30,0.9235582280
0.7920,0.30,0.9247641025
0.7940,0.30,0.9259630097
0.7960,0.30,0.9271549086
0.7980,0.30,0.9283397577
0.8000,0.30,0.9295175150
0.8020,0.30,0.9306881380
0.8040,0.30,0.9318515838
0.8060,0.30,0.9330078088
0.8080,0.30,0.9341567691
0.8100,0.30,0.9352984202
0.8120,0.30,0.9364327168
0.8140,0.30,0.9375596135
0.8160,0.30,0.9386790640
0.8180,0.30,0.9397910215
0.8200,0.30,0.9408954387
0.8220,0.30,0.9419922675
0.8240,0.30,0.9430814593
0.8260,0.30,0.9441629649
0.8280,0.30,0.9452367345
0.8300,0.30,0.9463027174
0.8320,0.30,0.9473608625
0.8340,0.30,0.9484111178
0.8360,0.30,0.9494534308
0.8380,0.30,0.9504877480
0.8400,0.30,0.9515140153
0.8420,0.30,0.9525321780
0.8440,0.30,0.9535421804
0.8460,0.30,0.9545439659
0.8480,0.30,0.9555374774
0.8500,0.30,0.9565226568
0.8520,0.30,0.9574994450
0.8540,0.30,0.9584677823
0.8560,0.30,0.9594276078
0.8580,0.30,0.9603788598
0.8600,0.30,0.9613214757
0.8620,0.30,0.9622553917
0.8640,0.30,0.9631805433
0.8660,0.30,0.9640968646
0.8680,0.30,0.9650042889
0.8700,0.30,0.9659027482
0.8720,0.30,0.9667921735
0.8740,0.30,0.9676724945
0.8760,0.30,0.9685436398
0.8780,0.30,0.9694055367
0.8800,0.30,0.9702581111
0.8820,0.30,0.9711012877
0.8840,0.30,0.9719349897
0.8860,0.30,0.9727591391
0.8880,0.30,0.9735736562
0.8900,0.30,0.9743784597
0.8920,0.30,0.9751734670
0.8940,0.30,0.9759585937
0.8960,0.30,0.9767337537
0.8980,0.30,0.9774988591
0.9000,0.30,0.9782538202
0.9020,0.30,0.9789985455
0.9040,0.30,0.9797329413
0.9060,0.30,0.9804569121
0.9080,0.30,0.9811703600
0.9100,0.30,0.9818731849
0.9120,0.30,0.9825652846
0.9140,0.30,0.9832465543
0.9160,0.30,0.9839168865
0.9180,0.30,0.9845761712
0.9200,0.30,0.9852242956
0.9220,0.30,0.9858611440
0.9240,0.30,0.9864865974
0.9260,0.30,0.9871005338
0.9280,0.30,0.9877028277
0.9300,0.30,0.9882933500
0.9320,0.30,0.9888719678
0.9340,0.30,0.9894385441
0.9360,0.30,0.9899929379
0.9380,0.30,0.9905350033
0.9400,0.30,0.9910645899
0.9420,0.30,0.9915815421
0.9440,0.30,0.9920856989
0.9460,0.30,0.9925768933
0.9480,0.30,0.9930549522
0.9500,0.30,0.9935196957
0.9520,0.30,0.9939709367
0.9540,0.30,0.9944084803
0.9560,0.30,0.9948321228
0.9580,0.30,0.9952416517
0.9600,0.30,0.9956368440
0.9620,0.30,0.9960174658
0.9640,0.30,0.9963832710
0.9660,0.30,0.9967339997
0.9680,0.30,0.9970693772
0.9700,0.30,0.9973891118
0.9720,0.30,0.9976928925
0.9740,0.30,0.9979803868
0.9760,0.30,0.9982512372
0.9780,0.30,0.9985050571
0.9800,0.30,0.9987414261
0.9820,0.30,0.9989598830
0.9840,0.30,0.9991599180
0.9860,0.30,0.9993409600
0.9880,0.30,0.9995023612
0.9900,0.30,0.9996433726
0.9920,0.30,0.9997631064
0.9940,0.30,0.9998604726
0.9960,0.30,0.9999340571
0.9980,0.30,0.9999818343
1.0000,0.30,1.0000000000
0.0000,0.40,0.0290494055
0.0020,0.40,0.0318562787
0.0040,0.40,0.0346612550
0.0060,0.40,0.0374643300
0.0080,0.40,0.0402654991
0.0100,0.40,0.0430647577
0.0120,0.40,0.0458621013
0.0140,0.40,0.0486575253
0.0160,0.40,0.0514510250
0.0180,0.40,0.0542425959
0.0200,0.40,0.0570322331
0.0220,0.40,0.0598199322
0.0240,0.40,0.0626056883
0.0260,0.40,0.0653894969
0.0280,0.40,0.0681713531
0.0300,0.40,0.0709512522
0.0320,0.40,0.0737291894
0.0340,0.40,0.0765051601
0.0360,0.40,0.0792791593
0.0380,0.40,0.0820511822
0.0400,0.40,0.0848212242
0.0420,0.40,0.0875892801
0.0440,0.40,0.0903553454
0.0460,0.40,0.0931194149
0.0480,0.40,0.0958814838
0.0500,0.40,0.0986415473
0.0520,0.40,0.1013996003
0.0540,0.40,0.1041556378
0.0560,0.40,0.1069096550
0.0580,0.40,0.1096616467
0.0600,0.40,0.1124116081
0.0620,0.40,0.1151595340
0.0640,0.40,0.1179054193
0.0660,0.40,0.1206492591
0.0680,0.40,0.1233910481
0.0700,0.40,0.1261307814
0.0720,0.40,0.1288684536
0.0740,0.40,0.1316040598
0.0760,0.40,0.1343375947
0.0780,0.40,0.1370690530
0.0800,0.40,0.1397984297
0.0820,0.40,0.1425257194
0.0840,0.40,0.1452509168
0.0860,0.40,0.1479740168
0.0880,0.40,0.1506950140
0.0900,0.40,0.1534139031
0.0920,0.40,0.1561306787
0.0940,0.40,0.1588453354
0.0960,0.40,0.1615578680
0.0980,0.40,0.1642682709
0.1000,0.40,0.1669765387
0.1020,0.40,0.1696826661
0.1040,0.40,0.1723866475
0.1060,0.40,0.1750884774
0.1080,0.40,0.1777881503
0.1100,0.40,0.1804856607
0.1120,0.40,0.1831810030
0.1140,0.40,0.1858741717
0.1160,0.40,0.1885651611
0.1180,0.40,0.1912539655
0.1200,0.40,0.1939405795
0.1220,0.40,0.1966249972
0.1240,0.40,0.1993072129
0.1260,0.40,0.2019872211
0.1280,0.40,0.2046650158
0.1300,0.40,0.2073405914
0.1320,0.40,0.2100139421
0.1340,0.40,0.2126850620
0.1360,0.40,0.2153539453
0.1380,0.40,0.2180205862
0.1400,0.40,0.2206849787
0.1420,0.40,0.2233471170
0.1440,0.40,0.2260069951
0.1460,0.40,0.2286646071
0.1480,0.40,0.2313199470
0.1500,0.40,0.2339730087
0.1520,0.40,0.2366237863
0.1540,0.40,0.2392722737
0.1560,0.40,0.2419184648
0.1580,0.40,0.2445623534
0.1600,0.40,0.2472039336
0.1620,0.40,0.2498431990
0.1640,0.40,0.2524801436
0.1660,0.40,0.2551147611
0.1680,0.40,0.2577470453
0.1700,0.40,0.2603769899
0.1720,0.40,0.2630045886
0.1740,0.40,0.2656298351
0.1760,0.40,0.2682527231
0.1780,0.40,0.2708732462
0.1800,0.40,0.2734913980
0.1820,0.40,0.2761071721
0.1840,0.40,0.2787205621
0.1860,0.40,0.2813315613
0.1880,0.40,0.2839401635
0.1900,0.40,0.2865463619
0.1920,0.40,0.2891501501
0.1940,0.40,0.2917515215
0.1960,0.40,0.2943504694
0.1980,0.40,0.2969469873
0.2000,0.40,0.2995410683
0.2020,0.40,0.3021327059
0.2040,0.40,0.3047218933
0.2060,0.40,0.3073086237
0.2080,0.40,0.3098928904
0.2100,0.40,0.3124746865
0.2120,0.40,0.3150540051
0.2140,0.40,0.3176308395
0.2160,0.40,0.3202051826
0.2180,0.40,0.3227770276
0.2200,0.40,0.3253463674
0.2220,0.40,0.3279131951
0.2240,0.40,0.3304775037
0.2260,0.40,0.3330392860
0.2280,0.40,0.3355985350
0.2300,0.40,0.3381552436
0.2320,0.40,0.3407094045
0.2340,0.40,0.3432610107
0.2360,0.40,0.3458100549
0.2380,0.40,0.3483565297
0.2400,0.40,0.3509004281
0.2420,0.40,0.3534417425
0.2440,0.40,0.3559804658
0.2460,0.40,0.3585165904
0.2480,0.40,0.3610501090
0.2500,0.40,0.3635810141
0.2520,0.40,0.3661092983
0.2540,0.40,0.3686349540
0.2560,0.40,0.3711579737
0.2580,0.40,0.3736783497
0.2600,0.40,0.3761960745
0.2620,0.40,0.3787111404
0.2640,0.40,0.3812235398
0.2660,0.40,0.3837332648
0.2680,0.40,0.3862403077
0.2700,0.40,0.3887446608
0.2720,0.40,0.3912463162
0.2740,0.40,0.3937452660
0.2760,0.40,0.3962415023
0.2780,0.40,0.3987350172
0.2800,0.40,0.4012258027
0.2820,0.40,0.4037138507
0.2840,0.40,0.4061991533
0.2860,0.40,0.4086817024
0.2880,0.40,0.4111614897
0.2900,0.40,0.4136385072
0.2920,0.40,0.4161127467
0.2940,0.40,0.4185841998
0.2960,0.40,0.4210528583
0.2980,0.40,0.4235187140
0.3000,0.40,0.4259817583
0.3020,0.40,0.4284419830
0.3040,0.40,0.4308993796
0.3060,0.40,0.4333539396
0.3080,0.40,0.4358056544
0.3100,0.40,0.4382545156
0.3120,0.40,0.4407005145
0.3140,0.40,0.4431436425
0.3160,0.40,0.4455838909
0.3180,0.40,0.4480212510
0.3200,0.40,0.4504557139
0.3220,0.40,0.4528872709
0.3240,0.40,0.4553159132
0.3260,0.40,0.4577416317
0.3280,0.40,0.4601644177
0.3300,0.40,0.4625842621
0.3320,0.40,0.4650011558
0.3340,0.40,0.4674150899
0.3360,0.40,0.4698260551
0.3380,0.40,0.4722340424
0.3400,0.40,0.4746390425
0.3420,0.40,0.4770410461
0.3440,0.40,0.4794400441
0.3460,0.40,0.4818360269
0.3480,0.40,0.4842289853
0.3500,0.40,0.4866189098
0.3520,0.40,0.4890057909
0.3540,0.40,0.4913896190
0.3560,0.40,0.4937703847
0.3580,0.40,0.4961480782
0.3600,0.40,0.4985226900
0.3620,0.40,0.5008942102
0.3640,0.40,0.5032626291
0.3660,0.40,0.5056279369
0.3680,0.40,0.5079901237
0.3700,0.40,0.5103491795
0.3720,0.40,0.5127050945
0.3740,0.40,0.5150578585
0.3760,0.40,0.5174074616
0.3780,0.40,0.5197538935
0.3800,0.40,0.5220971441
0.3820,0.40,0.5244372032
0.3840,0.40,0.5267740604
0.3860,0.40,0.5291077055
0.3880,0.40,0.5314381280
0.3900,0.40,0.5337653176
0.3920,0.40,0.5360892636
0.3940,0.40,0.5384099555
0.3960,0.40,0.5407273828
0.3980,0.40,0.5430415348
0.4000,0.40,0.5453524007
0.4020,0.40,0.5476599697
0.4040,0.40,0.5499642311
0.4060,0.40,0.5522651739
0.4080,0.40,0.5545627872
0.4100,0.40,0.5568570600
0.4120,0.40,0.5591479811
0.4140,0.40,0.5614355396
0.4160,0.40,0.5637197241
0.4180,0.40,0.5660005234
0.4200,0.40,0.5682779263
0.4220,0.40,0.5705519213
0.4240,0.40,0.5728224971
0.4260,0.40,0.5750896421
0.4280,0.40,0.5773533448
0.4300,0.40,0.5796135936
0.4320,0.40,0.5818703767
0.4340,0.40,0.5841236824
